OBJID,mass,star_forming,has_agn,classification
,110379900946.71579,0,0,spiral
,15736494706.679853,1,0,spiral
,60154483195.92767,0,0,spiral
,31313455825.01814,1,0,spiral
,20199610722.21774,1,0,spiral
,54766375527.092316,1,0,spiral
,17397265848.718575,1,0,spiral
,478090374460.07416,0,0,spiral
,22613771523.784107,0,0,spiral
,109337464871.2232,1,0,spiral
,54236043451.64403,0,0,spiral
,62198369496.92671,0,0,spiral
,16785141239.717926,0,0,spiral
,39921881389.894,0,0,spiral
,4985239184.925522,1,0,spiral
,17444639539.406292,1,0,spiral
,23489241876.638065,0,0,spiral
,35890540605.966805,0,0,spiral
,60027602776.668,0,0,spiral
,16245085446.307234,1,0,spiral
,10179489529.574488,1,0,spiral
,23565084424.170902,1,0,spiral
,62198369496.92671,0,0,spiral
,51908681765.81655,0,0,spiral
,37880787593.26423,0,0,spiral
,38842752716.43303,1,0,spiral
,106954484784.53026,0,0,spiral
,23361945152.972767,1,0,spiral
,6838360627.497911,0,0,spiral
,16368956704.37159,1,0,spiral
,23395428287.712738,0,0,spiral
,80326713771.33151,0,0,spiral
,10171453078.223524,0,0,spiral
,45601381513.27085,1,0,spiral
,5831415676.265096,1,0,spiral
,9448198305.884668,1,0,spiral
,29214738277.305283,1,0,spiral
,11284439695.659101,1,0,spiral
,21649406747.251354,1,0,spiral
,18064003136.974876,0,0,spiral
,24619260290.87751,1,0,spiral
,10747884729.48595,0,0,spiral
,7959925444.504696,1,0,spiral
,37350033871.60517,1,0,spiral
,18853978174.35692,0,0,spiral
,7811636032.362959,0,0,spiral
,17141783275.804052,1,0,spiral
,69857011101.87491,0,0,spiral
,77403393263.11513,0,0,elliptical
,11728703296.93487,1,0,spiral
,18611312441.57575,1,0,spiral
,67802545684.12491,0,0,elliptical
,56687460266.80951,0,0,spiral
,6231161392.424319,1,0,elliptical
,37788182140.028404,0,0,elliptical
,354011198207.6527,0,0,spiral
,7906221912.645921,1,0,spiral
,18291528581.649506,1,0,spiral
,25574549954.548573,1,0,spiral
,249135146767.99167,0,1,spiral
,37910193400.12738,0,0,spiral
,183586186223.8487,0,0,spiral
,29120712720.82622,1,0,spiral
,77463479374.76854,0,0,spiral
,8771401686.751894,1,0,elliptical
,3657362435.7429233,1,0,elliptical
,22029213906.336647,1,0,spiral
,89996993220.54472,0,0,spiral
,16920375626.591446,0,1,spiral
,65698431313.37692,0,0,spiral
,38777695853.31196,0,0,spiral
,7888691997.585718,0,0,spiral
,56712135371.06532,0,0,spiral
,14486651080.223219,1,0,spiral
,12463413388.220228,0,0,spiral
,140253594364.28024,0,0,spiral
,14868289204.195263,0,0,spiral
,10888548753.053957,1,0,spiral
,13889096648.578827,1,0,spiral
,18051030499.191734,0,0,spiral
,60268169358.05146,0,0,spiral
,21039383020.928493,0,1,spiral
,12895732029.199175,0,0,spiral
,5258331962.77735,1,0,elliptical
,20004007099.11031,0,0,spiral
,198754513592.27173,0,0,irregular
,32486131653.41081,0,0,spiral
,11749733058.261074,1,0,spiral
,12391303663.316454,1,0,spiral
,46346719557.32169,1,0,spiral
,8315875907.330209,0,0,elliptical
,10263323072.627043,1,0,spiral
,12184311682.466148,1,0,spiral
,52796240680.62382,0,1,spiral
,74461366150.1723,1,0,spiral
,16450003701.165112,1,0,spiral
,5548594665.43674,1,0,spiral
,12070464969.79084,1,0,spiral
,3277562635.6636014,1,0,spiral
,9571852552.522436,0,0,spiral
,224782760307.44382,0,0,elliptical
,14981662180.59946,1,0,spiral
,13989461583.670301,1,0,elliptical
,8970011503.479559,0,0,spiral
,37126242751.70458,0,0,spiral
,355430751661.2245,0,0,spiral
,24556134304.776844,1,0,spiral
,22100342285.514526,0,0,spiral
,24279067358.69864,1,0,irregular
,10786486394.1674,1,0,spiral
,52528379133.61537,0,0,spiral
,24814012690.44956,1,0,spiral
,14901328882.62609,1,0,spiral
,30341706287.67548,0,0,spiral
,24268447804.31998,1,0,spiral
,12113816759.751406,1,0,spiral
,13430339773.430023,1,0,spiral
,239389446174.40442,0,0,spiral
,37350033871.60517,1,0,spiral
,35890540605.966805,1,0,spiral
,38528491013.667076,0,0,spiral
,233954282877.12738,0,0,spiral
,15335078377.470009,0,0,elliptical
,26811740044.30786,1,0,spiral
,42856036179.42496,0,0,spiral
,51885977142.91681,0,0,spiral
,49257571906.49209,0,0,spiral
,24268447804.31998,1,0,spiral
,54967248753.659454,0,0,spiral
,20635167571.864937,1,0,spiral
,7024315340.682226,0,0,spiral
,9486193954.904943,1,0,spiral
,12070464969.79084,0,1,spiral
,22100342285.514526,1,0,spiral
,16274213156.42231,0,0,spiral
,30923952677.203907,1,0,spiral
,10230668202.369146,0,0,spiral
,39762437547.92146,1,0,spiral
,13246404110.041,1,0,spiral
,51575090652.910995,0,0,spiral
,21745730429.170734,1,0,spiral
,27093305870.340893,0,0,spiral
,153694384478.13614,0,0,spiral
,14081988976.079195,0,1,spiral
,213648082814.57993,0,0,spiral
,5950219679.688083,1,0,spiral
,26646918890.727608,0,0,spiral
,69941831407.02702,0,0,spiral
,43133231868.71683,1,0,spiral
,42410656967.11679,1,0,spiral
,22349869929.859184,0,0,spiral
,8614796045.023037,1,0,spiral
,8970011503.479559,1,0,spiral
,118584793048.06822,0,0,spiral
,13619777099.623737,1,0,spiral
,453083242617.36865,0,1,spiral
,26725448366.665375,0,0,spiral
,30504084829.033005,0,0,spiral
,10756376618.706696,1,0,spiral
,57637083909.01058,0,0,spiral
,44549311859.31034,1,0,spiral
,32696254111.269173,0,0,spiral
,7121852913.242216,0,0,spiral
,44371386541.344765,0,0,spiral
,291207127208.2622,0,0,spiral
,35428682307.63609,0,0,spiral
,103773866889.56357,0,0,spiral
,15856487882.664202,0,0,spiral
,41846486521.27019,1,0,spiral
,38842752716.43303,1,0,spiral
,5856970006.299989,1,0,elliptical
,53499657288.62509,0,0,spiral
,14486651080.223219,1,0,spiral
,14172517437.236685,1,0,spiral
,206351675718.64935,1,0,spiral
,23554777162.702286,0,1,spiral
,15689026624.13778,0,0,spiral
,5501498514.141302,0,0,spiral
,22260606873.982635,1,0,spiral
,40341124508.45932,0,0,spiral
,16605157529.088177,0,1,spiral
,21948760520.076565,1,0,spiral
,56895248680.7738,0,1,spiral
,8121794562.684371,0,0,spiral
,63698909873.98988,0,0,spiral
,8275971758.888443,0,0,spiral
,24477102133.717663,1,0,spiral
,7349909641.89219,1,0,spiral
,5041444610.136806,1,0,irregular
,38597573242.94369,1,0,spiral
,9309470927.17778,0,0,spiral
,474280206188.7467,0,0,spiral
,6624483153.627801,1,0,spiral
,25076158139.690193,0,0,spiral
,21745730429.170734,0,0,spiral
,210393830209.28494,0,0,spiral
,16658120526.07669,0,0,spiral
,8790913363.456017,1,0,spiral
,24026693042.058952,0,0,spiral
,49236140237.3402,0,0,spiral
,7553530723.252061,0,0,spiral
,83965136820.8925,0,0,spiral
,21123749077.650887,1,0,spiral
,23460701832.66088,1,0,spiral
,3657362435.7429233,1,0,irregular
,22763026291.258694,1,0,spiral
,4110844034.95339,1,0,spiral
,11598317680.566008,0,0,spiral
,188079300109.23346,0,0,irregular
,22322714252.63331,0,0,spiral
,43205595961.01035,0,0,elliptical
,221717003254.6686,0,0,spiral
,20084221390.371605,0,0,spiral
,12292154209.524105,0,0,spiral
,22494430373.45339,1,0,spiral
,183586186223.8487,0,0,spiral
,12097287442.47989,1,0,spiral
,76224397454.3684,0,0,spiral
,26276105686.633057,1,0,spiral
,16943963218.123795,1,0,spiral
,64575830458.81385,0,0,spiral
,213554634108.34152,0,1,spiral
,38842752716.43303,0,0,spiral
,74461366150.1723,0,1,spiral
,18240636970.58174,1,0,spiral
,9431287848.910864,0,0,spiral
,46047281947.04428,0,0,elliptical
,13908490557.338356,1,0,spiral
,24200926907.89174,0,0,spiral
,100428968013.8105,0,1,spiral
,24654545452.456318,1,0,spiral
,14414181954.955973,0,0,spiral
,7107043931.503699,1,0,spiral
,7422393929.815818,0,0,spiral
,11515134101.98417,0,0,spiral
,7489434035.447606,0,0,elliptical
,14506845975.176672,1,0,spiral
,39408054943.72495,1,0,spiral
,4788604838.367992,0,0,spiral
,33972382091.274277,0,0,spiral
,8404521644.875399,0,0,spiral
,57842892204.08163,1,0,spiral
,17984029239.862972,0,0,spiral
,241230379465.65967,0,1,spiral
,4351079314.63277,1,0,irregular
,32324215986.001865,1,0,spiral
,40439986319.41665,0,0,spiral
,26713758776.285694,0,1,spiral
,100428968013.8105,0,0,spiral
,14096100907.712475,0,0,spiral
,113862312521.01286,0,0,spiral
,16725110663.28109,0,0,elliptical
,225670608531.3361,0,0,spiral
,11860937023.648388,0,0,spiral
,7567074330.269697,1,0,spiral
,51908681765.81655,0,0,elliptical
,43862663492.10302,1,0,spiral
,40602053581.97685,0,0,spiral
,266469188907.27606,0,0,irregular
,14901328882.62609,0,0,spiral
,15535777759.776173,1,0,spiral
,278910587190.62445,0,0,spiral
,10263323072.627043,0,0,spiral
,22854304004.36241,1,0,spiral
,8893546907.11013,1,0,spiral
,34920383135.28912,0,0,spiral
,55237116581.009674,0,0,spiral
,25020788970.09841,1,0,spiral
,30233818389.609314,0,0,spiral
,7998232049.647642,1,0,spiral
,46817584175.62615,0,0,spiral
,63716953104.67172,0,0,spiral
,22928096451.427498,0,0,spiral
,3723848466.090161,1,0,spiral
,16035222852.686321,0,0,spiral
,14782265559.555695,1,0,spiral
,28745905928.002087,0,0,irregular
,19284394178.30528,1,0,spiral
,983091633275.1102,0,0,spiral
,17818699343.239834,0,0,spiral
,17868454886.506798,1,0,spiral
,79491922416.45686,0,0,spiral
,19137182566.111183,0,0,spiral
,40733150328.09128,1,0,spiral
,21589172678.61629,1,0,spiral
,15162506498.186495,0,0,spiral
,38251106268.87757,1,0,spiral
,12872651150.224646,1,0,spiral
,39535296482.466255,1,0,spiral
,11423100560.033667,0,0,spiral
,15771463674.366491,1,0,spiral
,63744688029.703125,0,0,spiral
,51701363889.89684,0,0,spiral
,4030639902.4721594,1,0,spiral
,40180098771.06684,0,1,spiral
,16157493876.416456,0,0,elliptical
,10888548753.053957,0,0,spiral
,41264254182.474525,0,0,spiral
,29919546051.93036,1,0,spiral
,10881956863.172,1,0,spiral
,7100468416.738717,1,0,spiral
,16852603382.353691,1,0,spiral
,19939625625.572823,1,0,spiral
,11295774139.009512,1,0,spiral
,38374612227.92983,1,0,spiral
,38280887688.77792,0,0,spiral
,228867960750.40253,0,1,spiral
,23546751472.23078,1,0,spiral
,38635985997.688614,0,0,spiral
,17876232726.3525,1,0,spiral
,12626529565.84063,1,0,spiral
,19598913673.712677,0,0,spiral
,19598913673.712677,1,0,spiral
,46984758614.80758,0,0,elliptical
,13681319969.431036,1,0,spiral
,86059734119.28206,0,1,spiral
,63082224547.90449,1,0,spiral
,25503395155.00799,0,0,spiral
,73450202928.77406,0,1,spiral
,12299600345.175997,0,0,spiral
,75652450489.94797,0,0,spiral
,4581081308.1644,0,0,spiral
,151068181022.32352,0,0,spiral
,55773898244.03039,0,0,spiral
,4351600319.80241,1,0,spiral
,43800392269.96974,0,0,spiral
,11300170596.679663,0,0,spiral
,28665927622.320953,1,0,spiral
,9376721130.220816,1,0,spiral
,31001592258.07556,0,0,spiral
,19796070873.755894,1,0,spiral
,29227522263.50398,0,1,spiral
,36859038323.26118,0,0,spiral
,42135582289.6405,1,0,spiral
,395045391689.2113,0,0,spiral
,122177715399.06902,0,0,spiral
,55973053546.980896,0,0,spiral
,26381470536.00135,1,0,spiral
,71511024501.81433,0,0,spiral
,9516472566.889147,0,0,spiral
,13656833039.204002,0,0,elliptical
,24654545452.456318,0,0,spiral
,18617655933.717438,0,0,spiral
,38111408545.635605,1,0,spiral
,19207374313.738396,0,0,spiral
,39250663271.135025,0,0,spiral
,352717493806.6287,0,0,spiral
,89637760988.59727,0,0,spiral
,82889400767.19243,0,1,spiral
,2902037365.8749175,1,0,spiral
,34415334893.253044,1,0,spiral
,21658880243.622936,0,0,spiral
,35747279830.84194,0,0,spiral
,47428020618.87467,0,0,spiral
,21519689462.447746,1,0,spiral
,22928096451.427498,0,0,spiral
,18483661224.20702,0,0,spiral
,8428300278.5238905,1,0,spiral
,41563393605.40986,0,0,spiral
,25688337590.570793,1,0,spiral
,286533892750.8123,0,0,spiral
,28242361001.805714,0,0,spiral
,184917068530.9196,0,0,spiral
,4376409982.709589,1,0,elliptical
,9673886774.611364,1,0,spiral
,2555488906.487312,1,0,spiral
,5232220041.559465,1,0,spiral
,37516213611.50867,1,0,spiral
,10519037418.679865,1,0,spiral
,22854304004.36241,0,0,spiral
,209879973165.9969,0,0,irregular
,12299600345.175997,0,0,spiral
,9753556408.44205,1,0,spiral
,314283079554.72296,0,1,spiral
,24357460111.00108,0,0,spiral
,13366016718.10438,1,0,spiral
,14102139290.440403,0,0,spiral
,10747884729.48595,0,0,spiral
,14617462891.746935,0,0,spiral
,42837389779.4298,0,0,spiral
,6501356782.863992,1,0,spiral
,51885977142.91681,0,0,spiral
,4194729883.537747,0,0,spiral
,60027602776.668,0,0,spiral
,14402802320.278969,0,0,spiral
,4202251104.4302173,0,0,spiral
,24965082179.824287,0,0,spiral
,30284471562.000637,0,0,spiral
,35271749380.66287,0,0,spiral
,7849229004.696478,0,0,elliptical
,28818010814.513252,0,0,spiral
,31586317753.966587,0,0,spiral
,8363672141.44033,1,0,spiral
,5104321253.427556,1,0,spiral
,62177320154.87182,1,0,spiral
,127060628727.10364,0,0,spiral
,19207374313.738396,1,0,spiral
,15150570965.513592,1,0,spiral
,33229438287.52177,0,0,irregular
,11088530617.95348,1,0,spiral
,22179257342.588783,0,0,spiral
,9042281017.843317,1,0,spiral
,15828107820.411652,0,0,elliptical
,98988330576.00981,0,0,spiral
,101738188375.64062,0,0,spiral
,14506845975.176672,1,0,spiral
,5079874698.543396,0,0,elliptical
,13419767757.57017,1,0,elliptical
,36267531756.74248,1,0,spiral
,29004407623.08195,0,0,spiral
,9102087371.290586,1,0,spiral
,37433376297.18302,0,0,spiral
,25752773015.61072,0,0,spiral
,82824915218.43456,0,0,spiral
,7449051897.297209,0,0,elliptical
,12238522764.395975,0,0,spiral
,11785146891.68545,1,0,spiral
,2606615659.517672,1,0,irregular
,300030219691.0652,0,1,spiral
,15764710505.085999,0,0,spiral
,62198369496.92671,0,0,spiral
,24357460111.00108,0,0,spiral
,1274054482.0064585,0,0,spiral
,45764213182.49543,0,1,spiral
,38760734664.32931,0,0,spiral
,21790741060.31761,1,0,spiral
,162896592592.25977,0,0,spiral
,13900070405.09791,0,1,spiral
,6532644124.549677,1,0,spiral
,10670800488.598,1,0,spiral
,15598218512.595549,0,0,spiral
,60739050702.82688,1,0,spiral
,69632181282.0603,0,0,spiral
,29331886782.28669,0,0,elliptical
,40715333832.155396,1,0,spiral
,3099188558.0615396,1,0,elliptical
,64110918655.10386,1,0,spiral
,19043685472.12093,0,0,elliptical
,16605157529.088177,1,0,spiral
,102022274140.60681,0,0,spiral
,49593070730.086555,0,0,spiral
,35616644377.85065,1,0,spiral
,18807930010.923347,0,0,irregular
,115751865767.23346,0,0,spiral
,6915458827.315251,0,0,elliptical
,13009871290.122137,1,0,spiral
,35223621036.98746,0,0,spiral
,155766119234.0375,0,1,spiral
,30179358217.49006,0,0,spiral
,2352388242.0507193,1,0,spiral
,60712483716.4465,0,0,spiral
,9123931162.77332,1,0,spiral
,3565635951.5564227,1,0,spiral
,30233818389.609314,0,0,irregular
,34749775244.97434,0,0,spiral
,2847967309.973034,1,0,irregular
,9177047931.080141,1,0,spiral
,20842749069.932858,1,0,spiral
,6893455874.745036,1,0,spiral
,14414181954.955973,0,0,spiral
,17475918070.08847,1,0,spiral
,17868454886.506798,0,0,spiral
,241662909573.75082,0,0,irregular
,9854690744.636192,0,0,spiral
,8458571018.243827,0,0,elliptical
,1177310452969.8484,0,1,spiral
,14782265559.555695,1,0,spiral
,24965082179.824287,0,0,spiral
,34695967313.56297,0,1,spiral
,331224917047.1093,0,0,spiral
,88489348981.90843,0,0,spiral
,50342989322.15304,1,0,spiral
,7121852913.242216,1,0,spiral
,38528491013.667076,1,0,spiral
,7614089895.639823,1,0,spiral
,37126242751.70458,0,0,spiral
,10263323072.627043,0,0,spiral
,14255025548.226183,0,0,spiral
,31428307955.472294,0,0,spiral
,70082566856.83829,0,1,spiral
,7991936048.391818,0,0,spiral
,24279067358.69864,1,0,spiral
,803540923820.112,0,0,spiral
,7666109177.472122,1,0,spiral
,8259447557.238738,1,0,spiral
,75512004680.35954,0,1,spiral
,29439403086.675323,0,0,spiral
,8953956908.870804,0,0,spiral
,8006265723.495449,1,0,spiral
,57611873708.89226,0,0,spiral
,27141884621.253624,0,0,spiral
,13508527150.482784,1,0,spiral
,33362685382.86813,0,0,spiral
,98063186215.82297,0,0,spiral
,24268447804.31998,0,0,spiral
,41981601318.06711,1,0,spiral
,256056615037.94012,0,1,irregular
,12053661746.504305,1,0,spiral
,25410195124.274017,1,0,spiral
,22770784856.317062,1,0,spiral
,5886416664.764485,0,0,elliptical
,108396185625.97614,0,0,spiral
,11870281001.621181,1,0,spiral
,11159840819.3904,0,0,spiral
,6786627303.534971,1,0,spiral
,120269636951.07222,0,1,irregular
,64784334229.04078,0,0,spiral
,3326411703.556659,1,0,irregular
,8822466135.048285,1,0,spiral
,35990675674.5215,0,0,spiral
,28459548114.365364,0,0,spiral
,214337914140.8221,0,0,spiral
,104114927250.92245,0,0,spiral
,45389667358.95901,0,0,spiral
,41028534059.7096,0,0,spiral
,34415334893.253044,1,0,spiral
,47407275816.918594,1,0,spiral
,38234463445.80436,1,0,spiral
,60543566389.80216,0,0,elliptical
,30123331421.65907,0,0,spiral
,6893455874.745036,1,0,spiral
,55773898244.03039,0,1,spiral
,20477644537.53664,1,0,spiral
,68021467938.87067,0,0,spiral
,18677769004.31029,0,0,spiral
,18240636970.58174,0,0,spiral
,23546751472.23078,0,0,spiral
,12878165440.656946,1,0,spiral
,12525613308.31421,0,0,spiral
,12626529565.84063,0,0,spiral
,55322780570.529945,0,0,spiral
,22886796075.040253,0,0,spiral
,13819616775.052502,0,0,spiral
,40341124508.45932,1,0,spiral
,288306211979.7894,0,1,spiral
,103520175596.74973,0,0,spiral
,17475918070.08847,0,0,spiral
,37758870973.66238,0,0,spiral
,75545047742.95714,1,0,spiral
,47618202767.932106,1,0,spiral
,38760734664.32931,0,0,spiral
,96345181673.7478,0,0,spiral
,17155326975.637823,0,0,spiral
,13759320914.28395,0,0,spiral
,111986326843.17503,0,0,spiral
,9155983471.306324,1,0,spiral
,16368956704.37159,0,0,spiral
,184836612242.0702,0,0,spiral
,40019623635.731255,0,0,spiral
,26276105686.633057,0,0,spiral
,14096100907.712475,0,0,spiral
,23878992547.523106,0,0,spiral
,8315875907.330209,0,0,spiral
,20842749069.932858,1,0,spiral
,56077158594.30176,0,0,spiral
,13294377297.782108,1,0,spiral
,17761351127.227142,0,0,spiral
,115841987472.32741,0,0,spiral
,28911059000.84821,1,0,spiral
,95258338004.56065,0,0,spiral
,6233600992.357846,1,0,spiral
,11423100560.033667,1,0,elliptical
,76038230191.46268,0,0,spiral
,13246404110.041,1,0,spiral
,16859201447.706467,0,0,spiral
,10424878450.67837,1,0,spiral
,26552107640.168976,1,0,spiral
,33136985672.543198,0,0,spiral
,41246205384.11207,0,0,spiral
,49346005180.63771,1,0,spiral
,18491706853.09196,1,0,spiral
,6996196518.166775,0,0,spiral
,28333550518.17968,0,0,spiral
,13342094120.027466,0,0,spiral
,13264900601.152124,1,0,spiral
,60053870068.13416,1,0,spiral
,16035222852.686321,1,0,spiral
,52585377986.713905,1,0,spiral
,48903056060.765144,0,0,spiral
,71719953613.42224,0,0,spiral
,12435779129.97784,1,0,spiral
,21161624313.316,0,1,spiral
,34938640330.149216,1,0,spiral
,17933951874.436485,0,0,spiral
,17241577554.64974,0,0,spiral
,4763300713.889435,1,0,spiral
,27840818559.554382,1,0,spiral
,65464823302.230774,0,0,spiral
,14921689545.6292,0,0,spiral
,4024880587.5598135,1,0,irregular
,133244410572.71658,0,0,spiral
,513691051051.9901,0,0,spiral
,4268398906.7588305,1,0,spiral
,4194729883.537747,1,0,elliptical
,3839237686.134608,1,0,irregular
,15177736192.84471,1,0,spiral
,18565856954.723263,1,0,spiral
,10114303933.859886,0,0,spiral
,20559758072.846886,0,0,spiral
,32841652388.116016,1,0,spiral
,188604043768.48688,0,0,spiral
,21730113764.24611,0,0,spiral
,213813931907.46008,0,0,spiral
,14351291968.757694,0,0,spiral
,32827287597.72815,0,0,spiral
,55237116581.009674,0,1,spiral
,7559481351.31409,0,0,spiral
,214410475519.45416,0,0,spiral
,36632452909.32462,0,0,spiral
,7703001811.61694,1,0,spiral
,9255587694.354803,1,0,spiral
,31414561355.554283,1,0,spiral
,14954847888.022291,0,0,spiral
,97043846006.28802,1,0,spiral
,17073163525.956112,0,0,elliptical
,9160622781.10334,1,0,spiral
,720390538123.2303,0,1,spiral
,104144178843.83397,0,0,spiral
,5659916185.312922,1,0,spiral
,14880036619.431084,1,0,spiral
,19570864045.416763,1,0,spiral
,65015663652.230194,0,0,spiral
,24902617618.029774,0,0,elliptical
,20157840291.073288,0,0,spiral
,23938944617.44044,1,0,spiral
,22060532942.571022,1,0,spiral
,61596211283.37063,0,0,spiral
,15396712487.666445,0,0,spiral
,105397182165.37808,0,0,spiral
,22707430833.09027,0,0,spiral
,208427490699.32858,1,0,spiral
,5627156581.254068,1,0,spiral
,55997546620.89624,0,0,spiral
,54967248753.659454,0,0,spiral
,6314776731.161059,1,0,spiral
,22540990709.133923,0,0,spiral
,113862312521.01286,0,1,spiral
,163621360700.40137,0,0,spiral
,15828107820.411652,1,0,spiral
,3710393752.187137,0,0,elliptical
,20077378203.39824,1,0,spiral
,12814716419.481207,0,0,spiral
,23949364840.033398,1,0,spiral
,23009967221.422516,0,0,spiral
,17056031915.283323,1,0,spiral
,65044113653.69657,0,0,spiral
,50505537802.03449,0,0,spiral
,8787149189.92721,1,0,spiral
,7212967909.203268,0,0,spiral
,10082123198.597834,1,0,spiral
,43345099078.333885,1,0,spiral
,5733977705.280665,1,0,spiral
,3332376015.4185486,1,0,spiral
,12140735566.94001,1,0,spiral
,10628084532.59601,1,0,spiral
,18543341649.92454,1,0,spiral
,189295809518.01404,0,0,irregular
,27690257857.12493,0,0,spiral
,6598922076.233422,1,0,spiral
,14402802320.278969,1,0,spiral
,9797651778.625624,1,0,spiral
,31885703254.331444,1,0,spiral
,18617655933.717438,0,0,spiral
,37192810726.3767,1,0,spiral
,7435719527.725074,0,0,spiral
,14428626785.912987,1,0,spiral
,32947692191.162323,1,0,spiral
,6504141785.664608,1,0,spiral
,105698299420.12965,0,0,spiral
,150516114953.13422,0,0,spiral
,14070871599.416754,0,0,spiral
,134643998398.03578,0,0,spiral
,196774582672.53436,0,0,spiral
,19614127767.896908,1,0,spiral
,161849737735.56036,0,0,spiral
,21123749077.650887,1,0,spiral
,16472442490.903366,0,0,spiral
,15828107820.411652,0,0,spiral
,22029213906.336647,0,0,elliptical
,7489434035.447606,0,0,elliptical
,25677101627.759285,0,0,elliptical
,2664121331.9412413,0,0,elliptical
,42271630524.80335,0,0,spiral
,120571315685.59589,0,0,irregular
,41864797994.78311,0,0,elliptical
,6380239772.136188,1,0,spiral
,519086817658.16547,0,0,spiral
,11792285900.921518,0,0,elliptical
,2146119990.9857404,1,0,elliptical
,43941815877.85554,1,0,spiral
,28459548114.365364,1,0,spiral
,7553530723.252061,1,0,irregular
,42578170820.98556,1,0,spiral
,15610542643.992916,1,0,spiral
,92425540715.95258,0,1,spiral
,72795578217.66849,0,0,spiral
,6560742611.205937,0,0,elliptical
,10135075773.870485,1,0,spiral
,16157493876.416456,1,0,spiral
,14306190375.652979,1,0,spiral
,61152751160.813866,0,0,spiral
,8074785602.585048,1,0,spiral
,11593351407.030321,0,0,spiral
,54043068529.249084,0,0,spiral
,15971032741.120714,0,0,spiral
